source,symbol,name,sourceAddress,sourceDecimals,coingeckoId,logo,solAddress,solDecimals,ethAddress,ethDecimals,bscAddress,bscDecimals,terraAddress,terraDecimals,maticAddress,maticDecimals,avaxAddress,avaxDecimals,oasisAddress,oasisDecimals,algorandAddress,algorandDecimals,ftmAddress,ftmDecimals,auroraAddress,auroraDecimals,karuraAddress,karuraDecimals,acalaAddress,acalaDecimals,klaytnAddress,klaytnDecimals,celoAddress,celoDecimals,nearAddress,nearDecimals,moonbeamAddress,moonbeamDecimals,terra2Address,terra2Decimals,injectiveAddress,injectiveDecimals,xplaAddress,xplaDecimals,optimismAddress,optimismDecimals,arbitrumAddress,arbitrumDecimals,aptosAddress,aptosDecimals,baseAddress,baseDecimals
eth,USDTet,Tether USD (Portal from Ethereum),0xdac17f958d2ee523a2206206994597c13d831ec7,6.0,tether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg,Dn4noZ5jgGfkntzcQSUZ8czkreiZ1ForXYoV2H8Dm7S1,6.0,,,0x524bC91Dc82d6b90EF29F76A3ECAaBAffFD490Bc,6.0,terra1ce06wkrdm4vl6t0hvc0g86rsy27pu8yadg3dva,6.0,0x9417669fBF23357D2774e9D421307bd5eA1006d2,6.0,,,0xdC19A122e268128B5eE20366299fc7b5b199C8e3,6.0,,,,,,,,,,,,,0x617f3112bf5397D0467D315cC709EF968D9ba546,6.0,,,,,,,,,,,,,,,,,,
eth,WBTC,Wrapped BTC (Portal),0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8.0,wrapped-bitcoin,https://etherscan.io/token/images/wbtc_28.png?v=1,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,8.0,,,,,terra1aa7upykmmqqc63l924l5qfap8mrmx5rfdm0v55,8.0,0x5D49c278340655B56609FdF8976eb0612aF3a0C3,8.0,,,0xd43ce0aa2a29DCb75bDb83085703dc589DE6C7eb,8.0,1058926737,8.0,,,,,,,,,,,,,,,0xE57eBd2d67B462E9926e04a8e33f01cD0D64346D,8.0,,,,,,,,,,,,,,
eth,XCAD,XCAD Token,0x7659CE147D0e714454073a5dd7003544234b6Aa0,18.0,xcad-network,,,,,,0xa026ad2ceda16ca5fc28fd3c72f99e2c332c8a26,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,YFI,yearn.finance (Portal),0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,18.0,yearn-finance,,BXZX2JRJFjvKazM1ibeDFxgAngKExb74MRXzXKvgikxX,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,YGG,Yield Guild Games (Portal),0x25f8087ead173b73d6e8b84329989a8eea16cf73,18.0,yield-guild-games,,EzZp7LRN1xwu3QsB2RJRrWwEGjJGsuWzuMCeQDB3NSPK,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,ZRX,0x (Portal),0xe41d2489571d322189246dafa5ebde1f4699f498,18.0,0x,,GJa1VeEYLTRoHbaeqcxfzHmjGCGtZGF3CUqxv9znZZAY,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,agEUR,agEUR (Portal),0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8,18.0,ageur,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/CbNYA9n3927uXUukee2Hf4tm3xxkffJPPZvGazc2EAH1/logo.svg,CbNYA9n3927uXUukee2Hf4tm3xxkffJPPZvGazc2EAH1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,bETH,Lido bETH (Portal),0x707f9118e33a9b8998bea41dd0d46f38bb963fc8,18.0,anchor-beth-token,https://static.lido.fi/bETH/bETH.png,,,,,,,terra1u5szg038ur9kzuular3cae8hq6q5rk5u27tuvz,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,gOHM,Governance OHM (Portal),0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,18.0,governance-ohm,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/FUGsN8H74WjRBBMfQWcf9Kk32gebA9VnNaGxqwcVvUW7/logo.png,FUGsN8H74WjRBBMfQWcf9Kk32gebA9VnNaGxqwcVvUW7,8.0,,,,,terra1fpfn2kkr8mv390wx4dtpfk3vkjx9ch3thvykl3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,ibBTC,Interest Bearing Bitcoin (Portal),0xc4e15973e6ff2a35cc804c2cf9d2a1b817a8b40f,18.0,interest-bearing-bitcoin,https://etherscan.io/token/images/badgeribtc_32.png,Bzq68gAVedKqQkQbsM28yQ4LYpc2VComDUD9wJBywdTi,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
